               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.08855,            0.015365,                   0,             0.17801,             0.51562,             0.10251,            0.032688,            0.092994,           0.0098284,                   0,            0.009109,            0.009109,            0.009109
                  38,             0.08483,            0.013906,                   0,                0.16,             0.51562,             0.13987,            0.068855,            0.092363,            0.010052,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.089018,            0.012825,                   0,             0.32845,             0.51562,             0.32128,             0.12066,            0.095188,           0.0096744,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,            0.085028,            0.014349,                   0,             0.32845,             0.51562,             0.32128,             0.12066,            0.095188,           0.0096744,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,            0.088062,            0.015214,                   0,             0.31865,             0.34375,             0.35278,             0.10642,            0.092793,           0.0098367,                   0,             0.00901,             0.00901,             0.00901
                  42,            0.087216,            0.014557,                   0,             0.49715,             0.34375,             0.39187,            0.084268,            0.088686,            0.010195,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.089787,            0.014449,                   0,              0.1111,             0.17188,              0.2568,            0.089979,            0.087886,            0.010127,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,            0.085663,             0.01425,                   0,              0.1111,             0.17188,              0.2568,            0.089979,            0.087886,            0.010127,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.086914,            0.013916,                   0,             0.39422,             0.34375,             0.33031,             0.11933,            0.088465,            0.010265,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.087178,             0.01522,                   0,             0.48982,             0.34375,             0.27319,             0.05245,            0.089939,            0.010774,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,            0.086994,            0.013814,                   0,              0.9818,             0.51562,             0.53901,             0.13589,            0.090034,            0.011119,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.084148,            0.014882,                   0,              0.9818,             0.51562,             0.53901,             0.13589,            0.090034,            0.011119,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,            0.078303,            0.011839,                   0,             0.98292,             0.51562,             0.56296,             0.17516,            0.086343,            0.011144,                   0,            0.008812,            0.008812,            0.008812
                  50,            0.085342,            0.015842,                   0,             0.16175,             0.35938,             0.14831,            0.031923,            0.090645,            0.010448,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.085353,            0.011693,                   0,             0.77177,             0.64062,              0.6487,             0.22404,            0.087117,            0.010433,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,            0.092289,            0.011932,                   0,             0.77177,             0.64062,              0.6487,             0.22404,            0.087117,            0.010433,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,            0.093106,            0.010177,                   0,             0.53642,             0.64062,             0.61987,             0.19028,              0.0871,            0.010187,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.082369,            0.011422,                   0,             0.64573,             0.65625,             0.67394,             0.27296,            0.077862,           0.0099202,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.080506,            0.014345,                   0,               0.532,             0.48438,             0.58684,             0.26635,            0.077527,           0.0094942,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.083292,            0.015314,                   0,               0.532,             0.48438,             0.58684,             0.26635,            0.077527,           0.0094942,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,            0.086137,            0.013885,                   0,             0.53115,             0.48438,             0.57339,             0.20712,            0.081366,           0.0089161,                   0,            0.008614,            0.008614,            0.008614
                  58,            0.083975,            0.012451,                   0,              0.5236,             0.48438,             0.54839,             0.23609,            0.079229,           0.0090802,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,            0.081563,            0.011833,                   0,             0.25611,             0.17188,             0.15123,            0.030361,             0.08718,           0.0082635,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,            0.087259,            0.011568,                   0,             0.25611,             0.17188,             0.15123,            0.030361,             0.08718,           0.0082635,                   0,           0.0085398,           0.0085398,           0.0085398
                  61,             0.07711,            0.013688,                   0,             0.54387,             0.46875,             0.57022,             0.16247,            0.075075,           0.0090573,                   0,            0.008515,            0.008515,            0.008515
                  62,            0.084034,            0.013891,                   0,              0.6594,             0.48438,             0.51114,            0.088681,            0.082066,           0.0083442,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,            0.086572,            0.012994,                   0,             0.53356,             0.48438,             0.58423,             0.19336,            0.076838,           0.0083951,                   0,           0.0084655,           0.0084655,           0.0084655
                  64,            0.079807,            0.012539,                   0,             0.53356,             0.48438,             0.58423,             0.19336,            0.076838,           0.0083951,                   0,           0.0084408,           0.0084408,           0.0084408
                  65,            0.076618,            0.014403,                   0,             0.92718,                 0.5,             0.59507,             0.22488,            0.074553,           0.0083951,                   0,            0.008416,            0.008416,            0.008416
                  66,            0.081464,            0.012114,                   0,              0.5807,             0.35938,             0.39775,            0.097354,            0.081106,           0.0077883,                   0,           0.0083913,           0.0083913,           0.0083913
                  67,            0.083492,              0.0123,                   0,             0.84821,                 0.5,             0.59573,              0.2207,            0.068534,           0.0086337,                   0,           0.0083665,           0.0083665,           0.0083665
                  68,            0.076027,            0.014338,                   0,             0.84821,                 0.5,             0.59573,              0.2207,            0.068534,           0.0086337,                   0,           0.0083418,           0.0083418,           0.0083418
                  69,            0.075412,            0.011812,                   0,             0.91838,             0.53125,             0.66646,             0.23135,            0.068719,           0.0085977,                   0,            0.008317,            0.008317,            0.008317
                  70,            0.074343,            0.012541,                   0,             0.58932,             0.34375,             0.33655,             0.09473,            0.081915,           0.0075501,                   0,           0.0082922,           0.0082922,           0.0082922
                  71,            0.077634,             0.01268,                   0,             0.88497,             0.51562,             0.68107,              0.1877,             0.07131,           0.0082151,                   0,           0.0082675,           0.0082675,           0.0082675
                  72,            0.072465,             0.01184,                   0,             0.88497,             0.51562,             0.68107,              0.1877,             0.07131,           0.0082151,                   0,           0.0082428,           0.0082428,           0.0082428
                  73,            0.064481,            0.010628,                   0,             0.90747,             0.51562,              0.6705,             0.21373,            0.070428,           0.0082253,                   0,            0.008218,            0.008218,            0.008218
                  74,            0.079245,            0.011302,                   0,             0.73653,             0.52423,             0.70504,             0.18795,            0.069572,           0.0082727,                   0,           0.0081932,           0.0081932,           0.0081932
                  75,            0.063157,            0.012561,                   0,             0.74207,             0.53125,             0.69543,             0.17858,            0.074988,           0.0078201,                   0,           0.0081685,           0.0081685,           0.0081685
                  76,            0.073579,            0.012576,                   0,             0.74207,             0.53125,             0.69543,             0.17858,            0.074988,           0.0078201,                   0,           0.0081437,           0.0081437,           0.0081437
                  77,            0.065517,            0.011725,                   0,             0.98566,             0.53125,             0.72534,             0.18394,            0.073726,           0.0077592,                   0,            0.008119,            0.008119,            0.008119
                  78,            0.072886,            0.012574,                   0,             0.89679,             0.53125,             0.76213,             0.24515,            0.067584,           0.0081549,                   0,           0.0080942,           0.0080942,           0.0080942
                  79,            0.069893,            0.011266,                   0,             0.33287,             0.42188,             0.31832,             0.07361,            0.072421,           0.0078487,                   0,           0.0080695,           0.0080695,           0.0080695
                  80,            0.070004,            0.012587,                   0,             0.33287,             0.42188,             0.31832,             0.07361,            0.072421,           0.0078487,                   0,           0.0080447,           0.0080447,           0.0080447
                  81,            0.067434,            0.013034,                   0,             0.34337,              0.4375,             0.39888,              0.1228,            0.068871,           0.0079216,                   0,             0.00802,             0.00802,             0.00802
                  82,            0.070531,            0.014073,                   0,             0.97237,             0.53125,             0.72909,             0.28324,            0.064011,           0.0080323,                   0,           0.0079953,           0.0079953,           0.0079953
                  83,            0.070767,            0.014353,                   0,             0.99074,             0.53125,             0.73617,             0.29215,            0.062306,           0.0079774,                   0,           0.0079705,           0.0079705,           0.0079705
                  84,            0.069649,            0.013307,                   0,             0.99074,             0.53125,             0.73617,             0.29215,            0.062306,           0.0079774,                   0,           0.0079457,           0.0079457,           0.0079457
                  85,             0.06434,            0.010973,                   0,             0.63449,             0.73235,             0.75984,             0.33398,            0.059579,            0.008098,                   0,            0.007921,            0.007921,            0.007921
                  86,            0.062581,            0.011772,                   0,             0.67518,             0.78125,             0.75082,             0.27711,            0.061639,           0.0078207,                   0,           0.0078963,           0.0078963,           0.0078963
                  87,            0.065519,            0.013327,                   0,             0.92771,                 0.5,             0.69069,             0.31154,            0.055559,           0.0081112,                   0,           0.0078715,           0.0078715,           0.0078715
                  88,            0.064196,            0.013193,                   0,             0.92771,                 0.5,             0.69069,             0.31154,            0.055559,           0.0081112,                   0,           0.0078467,           0.0078467,           0.0078467
                  89,            0.063616,             0.01398,                   0,             0.71576,             0.76562,             0.74957,             0.32982,            0.054546,            0.008073,                   0,            0.007822,            0.007822,            0.007822
                  90,            0.061689,            0.014352,                   0,             0.97288,             0.56062,              0.7792,             0.33479,            0.060696,           0.0075992,                   0,           0.0077973,           0.0077973,           0.0077973
                  91,            0.066068,            0.010846,                   0,             0.73271,             0.77103,             0.73674,             0.34211,             0.06438,           0.0073615,                   0,           0.0077725,           0.0077725,           0.0077725
                  92,            0.072755,            0.011256,                   0,             0.73271,             0.77103,             0.73674,             0.34211,             0.06438,           0.0073615,                   0,           0.0077478,           0.0077478,           0.0077478
                  93,            0.067118,            0.011666,                   0,             0.70532,             0.78541,             0.78951,             0.29868,            0.058677,           0.0075688,                   0,            0.007723,            0.007723,            0.007723
                  94,            0.062921,             0.01208,                   0,              0.8219,              0.5769,             0.74458,             0.27686,            0.061455,           0.0073045,                   0,           0.0076983,           0.0076983,           0.0076983
                  95,            0.067724,            0.010965,                   0,             0.67421,              0.5625,             0.73659,             0.22675,            0.058013,           0.0074405,                   0,           0.0076735,           0.0076735,           0.0076735
                  96,            0.072804,            0.010156,                   0,             0.67421,              0.5625,             0.73659,             0.22675,            0.058013,           0.0074405,                   0,           0.0076488,           0.0076488,           0.0076488
                  97,            0.071981,            0.010032,                   0,             0.67637,                0.75,             0.70628,             0.25503,            0.060523,           0.0072102,                   0,            0.007624,            0.007624,            0.007624
                  98,            0.065335,            0.012872,                   0,             0.52708,              0.8125,             0.66751,               0.277,            0.056137,           0.0071915,                   0,           0.0075993,           0.0075993,           0.0075993
                  99,            0.060169,            0.014865,                   0,             0.68682,             0.79688,              0.6968,             0.30613,            0.054716,           0.0072984,                   0,           0.0075745,           0.0075745,           0.0075745
                 100,            0.059903,            0.014125,                   0,             0.68682,             0.79688,              0.6968,             0.30613,            0.054716,           0.0072984,                   0,           0.0075498,           0.0075498,           0.0075498
                 101,            0.064618,           0.0092273,                   0,             0.82336,              0.8125,             0.79983,             0.28633,            0.054155,           0.0073676,                   0,            0.007525,            0.007525,            0.007525
                 102,            0.061265,            0.011758,                   0,             0.69489,              0.5625,             0.69688,             0.33439,            0.055731,           0.0072653,                   0,           0.0075003,           0.0075003,           0.0075003
                 103,            0.058562,            0.011861,                   0,             0.91824,             0.52651,             0.71112,             0.15613,            0.058988,           0.0071693,                   0,           0.0074755,           0.0074755,           0.0074755
                 104,            0.072136,            0.010129,                   0,             0.91824,             0.52651,             0.71112,             0.15613,            0.058988,           0.0071693,                   0,           0.0074507,           0.0074507,           0.0074507
                 105,            0.067993,            0.012039,                   0,             0.33533,             0.82812,              0.5531,             0.14873,            0.061214,           0.0069998,                   0,            0.007426,            0.007426,            0.007426
                 106,            0.063026,            0.010069,                   0,             0.94761,             0.48438,             0.65228,             0.19332,            0.056314,           0.0071795,                   0,           0.0074013,           0.0074013,           0.0074013
                 107,             0.06089,            0.011717,                   0,             0.94277,             0.51562,             0.72173,             0.23639,            0.059001,           0.0070792,                   0,           0.0073765,           0.0073765,           0.0073765
                 108,            0.062792,            0.010733,                   0,             0.94277,             0.51562,             0.72173,             0.23639,            0.059001,           0.0070792,                   0,           0.0073517,           0.0073517,           0.0073517
                 109,            0.058294,            0.011109,                   0,             0.94267,             0.51392,             0.70288,             0.24781,            0.057322,           0.0071976,                   0,            0.007327,            0.007327,            0.007327
                 110,            0.063085,            0.010393,                   0,             0.69582,             0.71875,              0.7605,             0.27243,            0.055222,           0.0073399,                   0,           0.0073023,           0.0073023,           0.0073023
                 111,            0.058522,            0.012127,                   0,             0.82258,             0.73438,             0.83061,             0.34919,            0.049039,           0.0076142,                   0,           0.0072775,           0.0072775,           0.0072775
